M̻s,% Obra,Parcela Obra (R$),Parcela Construtora (R$),Parcela Anual (R$),Total (R$)
1,2.0,45.0,1482.62,0,1527.62
2,5.38,121.03,1482.62,0,1603.66
3,8.76,197.07,1482.62,5000,6679.69
4,12.14,273.1,1482.62,0,1755.73
5,15.52,349.14,1482.62,0,1831.76
6,18.9,425.17,1482.62,0,1907.8
7,22.28,501.21,1482.62,0,1983.83
8,25.66,577.24,1482.62,0,2059.87
9,29.03,653.28,1482.62,0,2135.9
10,32.41,729.31,1482.62,0,2211.93
11,35.79,805.34,1482.62,0,2287.97
12,39.17,881.38,1482.62,0,2364.0
13,42.55,957.41,1482.62,0,2440.04
14,45.93,1033.45,1482.62,0,2516.07
15,49.31,1109.48,1482.62,5000,7592.11
16,52.69,1185.52,1434.75,0,2620.27
17,56.07,1261.55,1332.27,0,2593.82
18,59.45,1337.59,1229.79,0,2567.37
19,62.83,1413.62,1127.31,0,2540.93
20,66.21,1489.66,1024.82,0,2514.48
21,69.59,1565.69,922.34,0,2488.03
22,72.97,1641.72,819.86,0,2461.58
23,76.34,1717.76,717.38,0,2435.13
24,79.72,1793.79,614.89,0,2408.69
25,83.1,1869.83,512.41,0,2382.24
26,86.48,1945.86,409.93,0,2355.79
27,89.86,2021.9,307.45,5000,7329.34
28,93.24,2097.93,204.96,0,2302.9
29,96.62,2173.97,102.48,0,2276.45
30,100.0,2250.0,0.0,0,2250.0
Total Geral,,34425.0,32999.94,15000,82425.0
